name,skills,interest_area
Ricardo I.,"['AngularJS', 'Geolocation', 'Hibernate', 'Java EE', 'JBoss', 'NodeJS', 'PostgreSQL', 'Python', 'Ruby on Rails', 'Scrum']","['UX/UI & Web Design', 'Banco de Dados', 'Desenvolvimento Mobile', 'Desenvolvimento Web', 'Cloud Computing', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software', 'Gestão de Projetos']"
Paulo Da R.,"['Estatísticas', 'Excel', 'Facebook', 'Marketing', 'Marketing Político', 'Pesquisa de Marketing', 'Adobe Photoshop', 'Planejamento de Marketing', 'Relações Públicas', 'SEO']","['SEO - Search Engine Optimization', 'Marketing Digital', 'Gestão de Mídias Sociais', 'Pesquisa de Mercado', 'Relações Públicas', 'Outra - Vendas & Marketing', 'Análise de Dados & Estatística', 'Gestão de Projetos', 'Planejamento de Negócios']"
Matheus P.,"['Análise de Métricas', 'Análise de Projetos', 'Análise de Requisitos', 'AWK', 'Banco De Dados', 'Business Intelligence', 'Mineração de Dados', 'Armazenagem de Dados', 'ETL', 'SQL']","['UX/UI & Web Design', 'Banco de Dados', 'Desenvolvimento Desktop', 'Planilhas e Relatórios', 'Entrada de Dados']"
Guilherme C.,"['Amazon Web Services', 'Android', 'Desenvolvimento de API', 'Javascript', 'MySQL', 'NodeJS', 'NoSQL Couchbase', 'Python', 'Ruby on Rails']","['UX/UI & Web Design', 'Banco de Dados', 'Desenvolvimento Mobile', 'Desenvolvimento Web', 'Cloud Computing', 'Desenvolvimento Desktop', 'Teste de Software', 'Outra - Web, Mobile & Software']"
Marcelo S.,"['Excel', 'Finanças', 'Análise de Projetos', 'Business Intelligence']","['Comercial', 'Outra - Vendas & Marketing', 'Planilhas e Relatórios', 'Entrada de Dados', 'Análise de Dados & Estatística', 'Gestão de Projetos', 'Planejamento de Negócios', 'Financeiro']"
Franklin,"['Java', 'Python', 'StoryTelling']","['SEO - Search Engine Optimization', 'Marketing Digital', 'Análise de Dados & Estatística', 'Planejamento de Negócios', 'Financeiro']"
Gabriel B.,"['Linux', 'Microsoft Office', 'Segurança de Redes', 'Suporte Técnico', 'Windows Server', 'Conversão de Vídeo', 'ABBYY FineReader', 'Python', 'Scrum']","['Banco de Dados', 'Análise de Dados & Estatística', 'Gestão de Projetos', 'Suporte Técnico', 'Tecnologia da Informação']"
Thiago H.,"['HTML', 'Java', 'Java Swing', 'Javascript', 'MySQL', 'NodeJS', 'PostgreSQL', 'SQL', 'Microsoft SQL Server']","['UX/UI & Web Design', 'Banco de Dados', 'Desenvolvimento Web', 'Desenvolvimento Desktop', 'Teste de Software', 'Outra - Web, Mobile & Software', 'Análise de Dados & Estatística']"
Thiago F.,"['Banco De Dados', 'Mineração de Dados', 'Estatísticas', 'Excel', 'Finanças', 'Matemática', 'Mercado Financeiro', 'Microsoft Office', 'SAS', 'SQL']","['Banco de Dados', 'Planilhas e Relatórios', 'Análise de Dados & Estatística', 'Planejamento de Negócios', 'Financeiro', 'Outra - Administração & Contabilidade']"
Bruno V.,"['Análise de Projetos', 'Banco De Dados', 'Business Intelligence', 'Consultoria', 'Mineração de Dados', 'Entrada de Dados', 'Estatísticas', 'Inglês', 'Microsoft Office']","['Banco de Dados', 'Marketing Digital', 'Pesquisa de Mercado', 'Planilhas e Relatórios', 'Entrada de Dados', 'Análise de Dados & Estatística', 'Planejamento de Negócios', 'Outra - Administração & Contabilidade']"
Adriano A.,"['PostgreSQL', 'Python', 'GIT', 'Linux', 'HTML5', 'Excel']","['Banco de Dados', 'Desenvolvimento Mobile', 'Desenvolvimento Web', 'Desenvolvimento Desktop', 'Outra - Web, Mobile & Software']"
